subj_id,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,age,female,education,question,net_stats,word_count,giant component,k avg,clustering,density,entropy,disssortativity,k std
4100,2.0,1.0,0.5,4.0,5.5,3.5,2.5,4.5,23.0,0.0,3,V161078_stats,"{'node_count': 5, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.6666666666666666, 'k avg': 1.6, 'k std': 0.8944271909999159, 'entropy': 0.6378723516343402, 'density': 0.4}",10,1.0,1.6,0.0,0.4,0.6378723516343402,0.6666666666666666,0.8944271909999159
4101,0.0,3.0,1.0,5.5,7.0,6.5,2.5,7.0,45.0,1.0,3,V161078_stats,"{'node_count': 5, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.6, 'k std': 1.3416407864998738, 'entropy': 0.3358968393604847, 'density': 0.4}",7,1.0,1.6,0.0,0.4,0.3358968393604847,1.0,1.3416407864998738
4103,3.0,3.0,0.0,4.0,2.5,6.5,2.0,6.0,44.0,0.0,3,V161078_stats,"{'node_count': 3, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': -0.28571428571428475, 'k avg': 2.0, 'k std': 1.0, 'entropy': 1.0862246947178844, 'density': 1.0}",6,1.0,2.0,0.0,1.0,1.0862246947178844,-0.28571428571428475,1.0
4110,2.0,2.0,0.0,6.5,3.0,7.0,1.5,2.0,55.0,1.0,2,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",4,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4113,2.0,2.0,0.0,6.0,6.0,6.0,2.5,6.0,71.0,1.0,2,V161078_stats,"{'node_count': 5, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.6666666666666666, 'k avg': 1.6, 'k std': 0.8944271909999159, 'entropy': 0.6378723516343402, 'density': 0.4}",5,1.0,1.6,0.0,0.4,0.6378723516343402,0.6666666666666666,0.8944271909999159
4116,5.0,2.0,0.5,2.0,6.5,6.0,3.5,3.0,31.0,0.0,2,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",6,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4119,4.0,3.0,0.0,3.0,4.0,6.5,3.0,4.0,60.0,0.0,3,V161078_stats,"{'node_count': 3, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.6666666666666674, 'k avg': 2.0, 'k std': 1.7320508075688772, 'entropy': 0.0, 'density': 1.0}",5,1.0,2.0,0.0,1.0,0.0,0.6666666666666674,1.7320508075688772
4120,5.0,1.0,0.0,4.0,6.5,5.0,1.5,6.0,45.0,1.0,3,V161078_stats,"{'node_count': 6, 'edge_count': 4, 'clustering': 0.0, 'giant component': 0.8333333333333334, 'disssortativity': 0.3333333333333333, 'k avg': 1.3333333333333333, 'k std': 0.816496580927726, 'entropy': 0.6084084955066061, 'density': 0.26666666666666666}",8,0.8333333333333334,1.3333333333333333,0.0,0.26666666666666666,0.6084084955066061,0.3333333333333333,0.816496580927726
4122,4.0,3.0,0.0,5.0,5.0,5.5,1.5,4.5,34.0,1.0,3,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",4,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4127,1.0,2.0,0.0,6.0,5.0,5.5,1.5,5.0,48.0,1.0,3,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4999999999999988, 'k avg': 1.5, 'k std': 0.5773502691896257, 'entropy': 0.5415829135606792, 'density': 0.5}",7,1.0,1.5,0.0,0.5,0.5415829135606792,0.4999999999999988,0.5773502691896257
