V160001,V160001_orig,age,female,education,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,V161069,V161072,V161075,V161078,V161098,V161101,V161104,V161106
1122,302741,53,0,1,3,2,0,5.5,5.5,5.5,2,5,"I think she has a good head on her, I think she understands the world policial area//I think she is a little more level headed than Donald Trump is//","She is a liar, she lies too much, I think like Donald there are things she is covering up that are not culture//",I would say he is not a career policitan//I like the fact that he will say what is on him mind//,I believe that him not showing his taxes he is hiding something// he defenanctly is not people friendly if he has problems with groups of people// don't like his business history with bankrupcies//,"From what I have seen since I have been able to vote they are more likely to help the people like income, jobs & health care and I think they do a good job with the military//","I don't like the way they follow party lines all the time, I don't think there is enough indepent thinking//The Democratic party is not beeing agressive enough, I don't think they did the Health care right, I don't think it was 100 % correct but I don't think it was 100% wrong either//","I thing the Republican party does good for our people, I think they do well with immigration & I like the way they handle our military//","Don't like the fact that I don't think the Republican party cares about my paycheck, I don't think they care about the health care, they show one thing and do another action like a 2 face party// that whole follow the leader when some big guy says let's vote this way and they all do//"
1123,302746,64,1,3,6,3,.5,3.5,6.5,7,1,6,,"her dishonesty and lying and the way the clintons have had themselves above the law for years, all the way back to when Clinton was in the white house. Like the laws of the country do no apply to them. I was appauled how Bill Clinton conducted himself with Monica Lewinsky and it's just continued/have no respect for them","he has his challeges as well however he is outside the polical process and I think we need a change. I'm not happy with the republican or democrate party have handled themselves.I would hope that Donald, if he gets elected will be able to change some things/I believe theres' a great deal of waste in the gov't and that needs to be addressed. my professional business was to help clients become more efficient and effective and I hope Donald will be able to do that wiht our gov't. /",,,I feel the democratic party enable people to be dependent on gov't programs rather than being self sufficient. I feel strongly about that because having a severe handicap I know that I had to work very hard to get through school and college and yet I was able to be a very successful female bringing in [REDACTED AMOUNT] dollars a year. I did on my own and I feel the democratic just keeps giving and giving them rather than encouraging them to become what they can/,What I like is that they want a smalller gov't and want the states to deal with state issues/,I feel that they have gotten too political. They've lost touch with the people/
1124,302751,42,0,3,3,,0,,,,,,,,I think there could be a change in politics. With Clinton its a continuation of what we have now. I do not agree with Trump about the wall.\\,The wall he wants to make.\\,There's more closeness with the people. They are more human.\\,The way they contradict themselves. The differnce between the middle and lower class.\\,,
1125,302752,24,0,2,2,2,.5,4.5,4,5,3.5,4.5,"ike she is a fighter, has politcal ecperience, not afraid to go against other polical candidants, patient and understanding. She has tried to help some of the issues facing the nation, Client foundation bringing together foriegn leaders, support of Obama, good Secretary of State//","Her emails, not careful with confidential information, Her experience gave her competitive advantage over Bernie, calling African Americans criminals, how she changes sides to who ever is winning//","Like his tax policy, his idea of US foriegn policy//","Immigration reform, his temperment, he is not politically correct, business experience may not help him be a good president, faliure in business and bankrupt//","Try to come up with ideas to help people, influence government spending, foriegin policies, debates they were about policies and less entertainment, less candidates to choose from, lot more engaged and involved with the people, debate mores were more informative and shorter, like both candidates have respect for each other, encouraging each other//",Don't like their super delegates system is unfair//,"More conservative, less taxes on businesses//","Very disorganized, ran out of options for candidates, not professional to each other, more personal on differences, more enterating that political positions and not serious//"
1126,302754,68,1,3,2,2,0,5.5,3.5,7,4.5,6,"Her experience//Well, her democratic platform - that matters",I don't think she is honest in everything she says//I do not accept her explanations about the emails//I do not believe she is completely innocent in Bengazi issue,,"I don't think he qualifies to be president of the United States//Arrogant, Rude,Outsider, has nothing to do with politics",The idea that it is more democratic//that is closer to my way of life and what I think,Sometimes it's too liberal,I think many things in the platform of the Republican Party make sense,"For me, they are very extreme in immigration//for example, I like the way they want to cut off illegal immigration but not the way they want to do it"
1127,302755,45,0,3,2,2,0,4.5,6,4.5,3,7,"Her experience, uh, and her accomplishments; //",The 'quote' Clinton machine persona that her campaign has. Disingenuine. //,,Narcissism; egotism; sexism; racism; and any ism that you can think of that he has spouted out of his hole in the last week and a half. Sorry. I am appalled that we are even discussing his name right now. // I'm disgusted at the party for putting up such a weak candidate.,"Um, yes. And it would be...it's recognition of the need for minorities to become more of a part of the united states. //",Sometimes their policies lead to government largess. //,There's got to be...um...at least in Idaho they're perception that the government is too large. Overstepping some of our civil rights. //,"Uh, their religious strongarming. Their political religious strongarming. Their, not inclusion, their stance on minority issues and their unwillingness to look within themselves. Seems the party is always blaming someone or something, without taking responsiblity for their own legistlative actions. //"
1128,302757,34,1,2,5,2,0,4,6.5,6.5,4,5.5,,I don't like where she stands on abortion and I think that's probably the main one that jumps at me. Some of the things she has said about her thoughts on abortion and also ....it just left me. Give me a sec. I don't think she can be trusted.,I guess he is the lesser of two evils. There really is not much more I want to say about that. People are going to die when they read my review.,,,We will go back to their stand on abortion. And their gun control.,I am pro NRA. How do I say that right? And I feel they fight for our rights better.,
1129,302760,37,1,2,3,0,0,4,5.5,5,3,4,,,,i dont like his deamoner,,,,
1130,302761,72,1,1,0,2,0,3,5.5,4,2.5,3,If Hilary would help senior citizens with healthcare and try to control the drug companies from raising the prices,,I think that he would get things done a lot better with war and immigration without being a citizen.,9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,They work together a lot faster than the Republican,,Sometimes come up with good ideass.,The do not want to work together.
1131,302764,71,1,2,0,2,0,4.5,6,5,4.5,5,Experience//He she is very bright and educated. Primarily her experience.//,"I question . ou go ahead and do it and apologize later.//There are some things I worry about the family. She is a typical politician, you cant believe anyone anymore.",He tells it like it is but he doesnt always tell the truth. He has endless energy//,Lack of trust//He doesnt tell the truth.He lacks diplomacy.,Progressive try to be. Conscious of the budget. Democrats end up with asurplus and Republicans burn it up. Their not all doom and gloom.//,There are not enough Democratic senators.//,,"They have gone crazy. Far right. off the map right//If they are right or wrong, they always blame someone else.it is never their fault. They did not use to be like that."
1132,302765,75,0,2,4,3,0,3,4.5,6,4,4,,30 years of corputation conflict//,not Hilary clinton//,,,100%//,they could get back on track to being a conservative party again//,become a part of the establishment -leadersip is faded and they are not a conservative party anymore//
1133,302770,23,0,3,4,2,0,5.5,5.5,6,3,5,,"Corrupt, been in office way to long, promised people who funded things, doesn't follow through//","Like alot of thinks he wants to do, bring jobs back to American, increase inport taxes, defend against ISIS, just dont like Hillary Clinton//","not poitical, he is business man, don't like the way he talks against women//","education. healthcare,//","laid back non-aggressive on ISIS, no true plan, the views on immigration//","improve the economy in a more aggressive way, protecting gun laws, not taking away guns//",having rednecks that abusive races blacks and women//
1134,302771,53,0,3,3,2,.5,5,6,6.5,3.5,6,,"whitewater, trail of dead people they have left behind in their wake, her trying to get national healthcare passed in the early 90's/ he response to Bengazzi before Congress, he defiant attitude about things, like she is above the law or whatever, nothing to do about her being a awoman either.","basically i dsthink he is about the same as hilary, i can't believe the country can only come up eith the these two candidates, trump and clinton, it is a sad state of affairs,// i know it is the electioral college that has the real vote, and  that it is a reassurance ritual to make the american people  think they have a vote in this.// i wish it was 1980 again and Ronald reagan was running",ialready pan to I am voting libertarian\\ it is the best of both worlds,,"i don't like the way they want to open borders, globalizism",,"the fact tahat they are bascially the same as the Democratic party but only on the other side,"
1135,302774,56,1,3,1,2,0,2,7,7,1.5,6.5,She's experienced//,,He speaks his mind//,He's unstable//,Helping those who are less fortuate get back on their feet//,Their welfare policies need to improve//,They are not trying to increase taxes//,They too far to the right & do not support some important legistrations//
1136,302779,21,1,2,0,3,1,1,5.5,4.5,6.5,6.5,"I guess the stuff she wants to do for public education for Latinos, and what she will do for Latino immigrints.",,,He is very harsh and very to me kind of racist against certain groups of peoplke in this country and I dont think thats fair and the way he feels about abortion and making woman go to prison for that. and he doesnt have a lot of sympathy for people in the lower class.,they are alot more liberal and open minded about the different kins of issues. They are not perfect but I like that they are a lot more liberal.,,,They are a lot more conservative on certain view points like things to do with race and womens rights and foreighn issues.
1137,302781,53,1,1,4,2,0,5.5,4.5,6.5,4.5,6.5,,FOREIGN POLICY//,,,,,,
1138,302782,46,0,1,4,,0,,,,,,,email bengazi i do not understand person running for president can say only 4 people and she wants to take guns away and cirminals will not give up guns ..i have a [REDACTED RELATIVE] just murdered  they only way they can defend themselves.,"gun policy, borders, immigration stuff, keep letting people in they have alreay started mass shootings and bombings in the us.  hilary lets people in and hold off a bit and find a better way dont just let them in here without checks already seen sevearl issues.",little figure out how to say it out spoken needs to hold the reins a little bit,,"borders, gun policy, immigration, money situation//",gun policy beign able to protect yourself immigration issues get a handle on al of that foreign policy//job market//,lack of team work//lack of leadership//
1139,302785,57,1,1,0,2,0,6.5,6.5,6.5,1.5,5.5,"I think because she has a lot more experienced in being a world leader.//I trust her actually, i trust her more than Donald Trump//",,,"His temperment um I am afraid he will take us to a nuclear war and because to me he identifies women as a second class citizen becasue he said that we will be punshed for abortion//I do not trust him, I do not trust him his temperment I do not trust him//","Because they are more like for everyone I mean the poor middle class there for not, they are more for the EArth and keeping it without trying to take our natinoal resources for private gain and just sustaining Mother EArth without taking all of our fossil fuels away//",,,"To me they are like for th big guy, the private corporations and their wealth, they are not for the common every day man"
1140,302786,24,1,2,6,2,0,2.5,6.5,5.5,1,6.5,,"her criminal actions in the past, her stance on abortion, her policies in general //","I like his pro life stance, that's important to me. and overall, I feel like he does fight for certain freedoms a little bit more than Hillary does. //","I don't like the way he comes across, definitely. I don't like the way he represents us as a country; the way he speaks is very embarrassing. He's kinda harsh //",,removing certain freedoms // some of their foreign policies //,"I feel like they keep our freedoms in mind more often, and stick more to the constitution than the democratic party does //",the party is very divided recently //
1141,302787,85,0,1,0,2,0,3.5,4,3.5,3,4.5,wer're getting a two-fer with her husband and he can help her a lot//,I'm a Catholic and I don't like the question on Abortion and the way she's handling it// I think she should have taken Sanders as Vice President//,,He reminds me of Mussolini//Some of the things he says are unbelievable//He acts as if he's trying to lose the race//,For the common man//,Don't like that they push Abortion//,,They will not get together with the Democrats
1142,302790,56,1,1,6,0,0,4.5,5,5,3.5,4.5,,she lies and stealing,"a little better than Hillary Clinton, heard good things about him and I hope he doesn't get assinated if he wins",,,too liberal,//they're strong,
1143,302791,38,0,2,5,2,0,3,6,6.5,2,4.5,,no trust in her//constantly getting in trouble,what i like about him would be change//he is not a career politician//his background is business is what this country needs right now,what support//how do you get support from both houses//worried about foreign policy how well,,the democratic party leans toward socialism and government control,more patriotic in protecting our freedom,
1144,302793,38,1,3,1,2,.5,5,5,5,4.5,5.5,her political background,rumors people think that she is dishonest,,everything,,scandals on democratic party,,views on immigration
1145,302795,30,1,2,3,0,0,1.5,5,6.5,4,4.5,,,,,,,,
1146,302798,58,1,1,3,1,0,6,6.5,7,2,6.5,I think because she's more qualified//,for what she did in Bengazi//,I do like some of his views//,"the way he conducts himself, I think he's a little too impulsive//I think he's predjudice and I dont like that, he's says he's not but I think he is//",,everything//,,everything//
1147,302800,41,1,3,0,2,0,6,7,7,3.5,5.5,I've always taken a liking to her politically since she was in the White House with her husband//,,,It's primarily his racism and his issues about immigration//,"Their stance on the working poor, immigration, same sex marriage, and women's health issues//",,Maybe a little bit about their fiscal responsibilityir fisC,"Immigration issues, wanting to close the border. alot of them are against same sex marriage and abortion"
1148,302805,50,0,1,0,2,0,4.5,4,6,2,5.5,her background. she is fit for president.,,,everything about him I just don't like. He is just not fit for president.,they are more equal toward everyone instead of one sided.,,,
1149,302806,31,1,1,3,1,0,7,6,3,4.5,6,Her experience. Some of her policies are in line with mine.//,I do think that the email are big because she isn't a trust worthy candidate. I dont think she would select anyone I like onto the supreme court. Shee is going to nominate at least 2 justices. In her 4 years she will be able to get another one.//,,"Everything, he is racist masonginistic xenaphobic//",Social justice//,Their becoming way to liberal which means they are putting way to much control with the governmnt which should be individualied or state control//,fiscally they are more in line with my needs//,Donald Trump
1150,302809,44,1,2,0,3,.5,6.5,5.5,7,2,6.5,"Her political experience, her negotiation experience, her foreign policy experience, and her ability to pass bills.// Her compassion.",,,He has no polociy.  He has answers to his answers but never explains his policies.,They seem like they are more for the people rather than the party and I like that.,The issue with the email and lack of security.,,The negative campaigns and tactics.
1151,302810,27,1,3,1,1,0,3.5,6.5,6,1,4.5,,,,"Everything, his lack of experience, his way of talking",more liberal,taxes,,too conservative
1152,302812,41,1,2,3,3,.5,2.5,6,4,2,6.5,She knows what it take that office//She has experience in the White House//I really do believe she would be ready for change// She has been wanting to be it for so long//It would be historical if she would be president//She has been running for a while trying to be president// I like her drive//She is far more professional and has more integrity than Donald,,,,Most presidents and congressmembers try to be the voice of the small business owners//They try to appeal to whose voting for them//They try to improve conditions like in improverished or otherwise (trying to use the right words - trying to use the right words when you are trying to get your point across),,They appeal to African Americans who are doing well in life meaning they are career and goal oriented,
1153,302813,50,1,2,0,,0,,,,,,SHE IS MOST QUALIFIED WHO EVER RUN FOR PRESIDENT - SHE IS A WOMAN - SHE KNOW ALL ABOUT HOW THE GOVERNMENT RUN,,,HE IS TRYING TO TAKE THE COUNTY BACKWARDS - HE IS RACIST,MORE FOR THE PEOPLE AND NOT JUST FOR ONE RACE FOR EVERYONE FOR IMMIGRANTS - HEALTH INSURANCE - STANDS FOR THINGS THAT ARE VERY IMPORTANT TO ME,,,REPUBLICANS ARE TRYING TO KEEP DEMONCRATS DOWN
1154,302815,68,0,2,3,3,.5,2.5,6.5,6.5,1.5,6.5,,she lies all the time and i think she's stealing money and i think she's a criminal and i don't think she should be allowed to run she should be in jail her health//,i like what he talks about he talks about the people fist and that's what this is all about I think he's our best choice to go forward as a nation//,,they have some ideas that i agree with//,they are dishonest//,i like the direction he says he wants to move the country now whether he does that we'll see//,"yes there's alot i don't like, i don't like the republicas really i think they all need to be fired//"
1155,302816,71,0,1,4,2,0,4,6.5,6.5,1.5,4.5,,Everything that she says and has done. I think she is self motivated to do what is in her best interest.,Ninet nine percent of what he says that we need to go back to.When you have two choices it is not hard to make a decision when what you hve to choose from is night and day different you naturally choose who is closest to your beliefs.,,,Everthing that they stand for.// Not a lack of guts.,Their ideas.  What they talk.,Their cohesiveness and they can't implement anything.  I think lack of guts would sum it up.
1156,302821,67,1,1,4,0,0,5,5,5,3.5,5,,"from lwhat I hear fromtv just what she wanats to do about letting the immigrants in, jshe is talking about closing the coal mines, social security scare me a little bit, i just don't think she is trustworthy//","just some of his beliefs, he is abusiness man i hope he can straighten out some of the problems we have. iknow he has his faults but so does everyone else, so out of the two he will do a better job\\","he is loud mouth, he does not really have a lot of experience but I do like how he says ahe is going to do things, like getting jobs, and keep immigrants out\\",,,,
1157,302830,25,1,2,2,1,0,4,5,4.5,4,4.5,"leadership, confidence, and she will do the change she is expecting",That she is doing to much drama and teather on some actions,,"Selfish, closed mind, racist, he doesnt have values",,Iqualy is based on people but they just do their job half like they dont want to do it completly,,Republicans are more independentwise//
1158,302835,38,,2,2,2,.5,3,6,5.5,2.5,6.5,Experience level and also that se is gthe democratic candidate//,,,I dont thin  he is quallified and I dont thnk he is stable//,i like the policies gthat look out for people who are the middle calss or just the top earners in the country//,,the idea the lower taxes although not always come thru,"I dont like tghe religious conservatism thatg a lot of themembers have, and i think that the polocies favofr wealthy and people who make a lot of money//"
1159,302836,81,0,3,0,3,.5,5,6.5,6,3.5,6,SHE WAS THE FIRST LADY ODF USA FOR 8 YEARS. SHE WAS THE NEW YORK US SENATOR. SHE WAS SECRETARYA OF SATE FOR USA. SHE IS A LAWYER SHE UNDERSTAND THE LAW. SHE IS DEEPLY CONCERN ABOUTH HEALTH FOR WOMEN AND CHILDREN THROUHGH OUT THE WORLD.SHE STRONGLY SUPPORT EDUCATION FOR ALL PEOPLE.,,,"HE IS A DEMAGOG, HE IS A BIGOT HE STANDS FOR EVERYTHING A IM FOR, HE IS AGAINST MIGRANT AND MUSLIMS HE IS A DIGUSTING HUMAN BEING.",,,,PARTISAN POLITICAL RESITANCE TO NOMINIES FOR PONTS OF OBAMA.
1160,302840,64,0,1,0,3,.5,5,4,3,4,4,she is democrat,not liberal enough,,I dont like hiis personally,I like their economic platform// I like their overall plan on imigration// I think they do a better job on foreign policy//,I dont like their lack of williness to fight more strongly for liberal causes that seem to be a part of  their liberal gender,,obstruction statgery
1161,302841,70,0,2,,2,0,4,6,5,3.5,6,she is for helping disabled\\feels better communicating with other countries,she has health problems\\,he know his way around money\\he's a liberal\\you don't think hes not a conservative\\,he seems to have a ferocious ego\\ he doesn't know his way around the world\\he's going into an inquosition\\ against mexico,they are more for the people\\,,,the way they handle the wealth\\they constantly looking for about thedebt of the country. were 9 trillion dollars in debt\\i think they are being protective\\
1162,302843,68,0,3,5,3,0,4.5,5,5.5,3.5,5.5,,"70 people that she was instrumental in their death, email cover ups, illegel real estate, illegel activitie in the client foundation, probably has parkinson disease, having seizures and falling down, total dishonest, complette liar//","Very intelligent, business  man, practical business sense, common sense//",Has a stupid month//,,"Don't feel honest, don't feel they have the interest of the people at heart, feel their a tool of illuminati//",Some rements of conservatism//,not as conservative as it use to be''
1163,302844,29,1,1,0,,0,,,,,,She has a lot of good ideas and she is for womens rights and childrens best interest at heart.//,,,"Certain things he says, his demeanor. Sometimes I think he could be rude.  I don't think he has experience in running for President and I don't think he is very knowledgeable about topics.  when someone asks him questions about topics he kind of veers off the questions.//",I say they when they come up with good laws they try to work to get the republican party on board.//,,,
1164,302850,59,1,2,2,3,.5,7,7,7,4,5,"HER WHOLE LIFE HAS BEEN GEARED TOWARD PUBLIC SERVICE, I'M NOT ENAMORED WITH HER, I THINK SHE'S VERY SMART//",I HAVE TRUST ISSUES WITH HER//,,"EVERYTHING, I JUST THINK HE'S A VERY A DANGEROUS PERSON, PROFOUNDY UNQUALIFIED//","I THINK DEMOCRATS HISTORICALLY HAVE BEEN FOR THE DOWN TRODDEN, THAT'S ALL, THEY HAVE KINDA PISSED ME OFF LATELY//","I'M VERY BITTER FEELINGS DURING THE PRIMARY, I THINK BERNIE SHOULD HAVE BEEN CHOSEN, I'M VERY DISAPPOINTED WITH THAT//",,"EVERYTHING THEY DO INVOLVES WHAT'S GOOD FOR THE PARTY, I THINK IT'S SHAMEFUL THEY OBSTRUCT BARRAK OBAMA, I'VE VERY VERY ANGRY AND BITTER ABOUT THAT//"
1165,302851,25,0,2,5,1,0,5.5,4,5.5,4,4,,"Taking coal away, industry jobs, I just don't think she's good for the working man I think she's for handouts, I'm a working man, I don't take handouts, I think she and Obama are in cahoots and he promised us everything and he took it away from us and she will probably do the same thing and take the rest of it away//",I believe in him I think he's gonna make the country better give the working man jobs and the working woman jobs and make us great again and I believe he's gonna bring us together and I know that Hillary an't gonna do that//,,,,"Just the candidate, thats all//",
1166,302852,34,0,3,5,,0,,,,,,She's not Donald Trump//Not as extreme as Donald Trump//,Theres been a lot of news about buy offs by big coroporation//,,He's a racist when it suits his politics//It's very akin to want to  Hitler said about the jewish people//His piltics are not sold either//He has not concrete ideas about how to make America great again.//,I like their president Barack obama//I like some of their overall polices to enhance the way oif life of all people//Not just those with the money//,,I like their push for smaller goverment//retaining  wealth with people rather than with the government//TRhe release of control with the econoomy//,Their stubbornes in recent issues//Lack of ability to do so //
1167,302856,52,1,2,0,,0,,,,,,Shes t5he better of the two evils.//,"Has been around government and politics for the last 30 years and her husband and never have i seen her stand behind what she says, she is a kiss ass.//",,He is a selfish self centered pig who does not know what its like to be on the other side of the track due to the fact that he was born with a silver spoon in his mouth//,e less fortunate.//,"Sometimes they dont stick to their guns about what they say will do. there is no middle class anymore, you are either rich or poor.//",,Caters to the rich.//
1168,302861,48,0,1,1,2,0,5,2.5,6.5,5,5.5,,,,,,,,
1169,302864,28,0,3,5,3,0,5.5,4,7,1,6.5,Keeping Donald Trump out of office//,I think she's dishonest//I think she believes that her motives are above the law and I think that she is excessively driven by an appetite for power.//,,I do not believe he has a respect for the Democratic process.  I think he's dishonest in his personal and professioal dealings.  I don't think that he is a principle or theoretically driven person//I think he would be dangerous to the country//,I think the Democratic Party fundamentally believes in compassion.  I think the Democratic Party has a cohesive political theory that it belives will better the lives of individuals in the country and better the condition of the country as a whole//It has a shown a greater ability to adapt to the times to its benefit.//,I disagree with that same political theory that same political philosphy.  I think it's a flawed theory that will not produce improved results although I understand why Democrats believe it will//I think the Democratic Party has become very close minded and somewhat self righteous//,I believe in some of the core tenants of theoretical conservatism specifically limiting the role of a federal government and the powers of efficiency and innovation that a free market produces.  I also believe that in terms of reality and outcomes theoretical conservatism produces better results//,It's a coalition of odd bedfellows and I do not agree with some of the elements of that coalition specifically social conservatism and the implicit or explicit unwillingness gto reject fringe influences such as the white nationalism//I think the Republican Party has does a poor job of evolving with the times and providing an aspirational point of view based on theoretical conservatism//
1170,302865,37,0,3,0,2,.5,2,4,3.5,1.5,5.5,I agree with a number of her stances I believe she is more experience and well versed in foreign policy. //She seems sane.//and I feel that to follow up what  I said before as secretary of state she has had political experience//I think it would the country to have a women as president.//,,,He seems a dangerous and incompetent indidvdual. I find his views racist and offensive. And I believe he would the country in serious international danger.//,concern individuals well being//healthy and educational financial policies//the importance of healthcare for everyone//,the lack of unification at times//,the idea of individual rights but not necessarily a republican trait//,dangerous financial and foreign policies and the endorsement and reckless characters as their representatives/
1171,302866,50,1,2,5,2,.5,4,4.5,4.5,5,3,,"Benghazi, dont trust her//",not a political person//,,Attempting to do universal healthcare pro gay rights//,They think their right and everybody else is wrong,They support veterans more so than the democrats do//,They think their perfect and everyone else is wrong//
1172,302867,90,1,1,5,0,0,4,5,4,4,3.5,,she is a liar//she has done a lot of dishonest things she is not honest,lessor of two evils,rough talking dont care about that kind of stuff,there are some good people in it,always over spending,born into the family of republicans and always went with that I do think would not want to become a democrat,
1173,302871,76,1,2,4,2,0,4,7,7,2,4.5,,I don't think she's honest //,I just like his view on things. This year has been a choice of bad and badder. I'm not real happy with either one of them but i lean more toward some of the things that Trump stands for.//,He's terribly arrogant. // I just hope he has some strong advisors he'll listen to. //,,,"I've gone more republican because I like trump, what he stood for more than clinton. //",I'm really dissatified with the whole bunch in washington. they make too much money and they need to do a reality check //
1174,302872,36,1,3,5,,0,,,,,,,she is dishonest i think - i just don't trust her -,His fiscal responsibility -,he's unprofessionalism - his attitude  towards women in the work place -,social views - to elaborate their stnce on the LGBT community -,their fiscal stance - stance on abortion -,the fiscal policy -,too narrow minded -
1175,302873,19,1,2,4,2,0,6.5,4.5,6,3,5,,she's a criminal,not for partial birth abortions,he's an idiot,don't agree with their lack of morals and just the selfish way that they think society should be,no morals,,
1176,302874,61,1,2,6,3,0,6.5,6,6.5,1.5,5.5,,I don't trust her.//I don't like what she stand for.  I think she is a liar.// I just don't think Hillary will do anything different that the last 8 years we have been through as a Democrat.//,I like his ideas.  I strongly agree all of his ideas in the way America need to go in.  I think he will fix health care.// I support his as far as building the wall.  I think he will bring jbs back to America.//,,,"I don't like what they stand for.//Persona;;y I think they have got our country in a mess with health care, social security is a big issue.//","I think that the Republicans can make America great again,  I thing the people that are on social security and veterans can be helped.  I like their ideas about ISIS.//",I don't feel like they are united right now.//
1177,302876,52,1,3,0,3,0,5.5,4.5,6,2,6.5,She's extremely qualified/She was an excellent Secretary of State//She was a good senator from New York//She's got a proven track record for working on important issues like health care//I believe she will get important legislation done//She is very intelligent//She responded very well under pressure when she testified//She is actually very conservative and if Republicans decide they want to actually govern they can work with her//Think it would be good to have a woman president for the first time,,,He is racist//he is a misoginist// he is dishonest//I think he is a pathological egomaniac//He is entirely looking out for number 1// He is the ultimate example of greed,I like their stance on trying to get healthcare for everyone//and trying to raise the minimum wage//some of their environmental policies,Some of their approaches to energy policies,,The tea party//The Republican Party has sown the seed for what is happening now//I think they laid the groundwork for the Trump candidacy//I think their anti-immigation policy has fueled a new generation of racism associated with the Trump campaign//Their whole policy of the ultra-rich can get richer
1178,302877,41,0,1,4,,0,,,,,,,Some of the lies that she has told and some of her internet issues.,Bringing back jobs to America likes textiles being American made.,,For the common peolpe blue collar workers,,,more about rich people and corporations.
1179,302878,28,0,3,6,2,.5,7,3.5,4.5,1,6,,LIST IS AT LEAST AS LONG,,THELIST IS LONG,,GENERAL DIFFERENCE IN VIEWS,,PUTTING ON THE TICKECT EVERYBOBY NEGATIVE HOPING ON BOARD
1180,302880,66,1,3,0,2,.5,,,,,,I'm glad she's a woman and has a good strong background in politics although it might not always be ethical and she is a master manipulator. \\,I question her ethics. Too many stories. \\,,I have a doctotarte in pschcology and he is a narcissit. I don't think he is doing it for the right reasons or cares about the citizens. He degrades people. I'd be embarrassed to have him as a president. He is all into himself and not the people unless it is the rich people. \\,"I like it because it is open to new ideas. They are flexible and not put in cement. The box is open. I think of Lydon Johnson and the disability act, the blacks to vote and a whole slew of acts. I guess I'm a progressive. The civil rights movement, all that. \\",They both can be typecast behind the scenes anywhere they is power to be played. Nothing specific. \\,I know they have old values which is good. They're too conservative for me. I'm a liberal. I believe a woman should have a right to her body and abortion. I'm glad we have at least two parties. I wish we had a third. \\,"It's like an old boy's club. I am sure democrats can do it too, but it seems more so with the republicans and money is involved. I'm not totally against them. I like the idea the average poor guy has the ability to become president where republicans its usually money background.\\"
2001,400002,51,0,2,3,2,0,3,7,7,3,6,Better than TRUMP,,,He is Prejudiced agianst everthing and everyone! Too volitil,,,,
2002,400004,26,0,1,3,1,0,3,5.5,6,3.5,6,,,,I heard hes under investigation for tax laws,,,,
2003,400006,56,0,2,5,1,0,6,4,7,6,6,she is about equal right for all....,,,I'm a gay man,They are somewhat focused on topics.,,,they have LOST their way !!!!!
2004,400007,20,1,2,0,1,0,4,4,6,2,6.5,experience,,,racist,help the underdogs,,,only care about not wanting to paying taxes
2005,400009,26,1,2,2,2,0,3,5.5,5,3,4,,to many answered/covered up answers,,,,,,
2006,400015,41,0,1,0,2,0,5,5,6,3.5,5,Her resume,,,He has no political experience and his tax plans want work,They are for the people,,,They are in favor of tax breaks for the 1%
2007,400016,25,0,3,0,3,0,7,6.5,7,5,7,"Her history in foreign policy, her stance on equal rights.",,,"His disregard for equal rights, position on guns, inexperien","Continued push for equal rights, optimistic for our country","The leadership of the party, who favored Sanders.",,"Disregard for equal rights, reckless position on gun control"
2008,400017,60,1,1,6,2,0,4.5,4.5,5.5,3,4.5,,,making America safe again,,,socialism,common sense,Impeach President Obama
2009,400018,64,1,2,0,3,0,4,5.5,7,1,6.5,Her experiences in the realaty of the global environment,,,He is an idiot,They don't come across as bullies a party for the people,,,Lack of meeting half way with democratic leaders
2010,400021,49,1,2,3,0,0,3.5,4.5,3.5,6.5,5.5,,,,HIS IGNORANCE,,THEY ARE A JOKE,,"LIIES,RACISIAM THEY BOTH ARE JOKE"
2011,400028,36,1,3,1,2,.5,5,4.5,7,3,5,"The fact that she's a woman, and has major experience",,,"He's xenophobic, a bigot, and not an intelligent person",,,,"The party is non-progressive thinkers, and sort of racist"
2012,400033,62,0,1,3,2,0,4,4,4.5,3.5,5.5,,dishonest,,,,,strongleadership,infighting
2013,400035,59,0,3,6,3,0,6,6,5.5,1.5,5,,"dishonest, too far left","business background, no PC bs",,,"too far left, too liberal",the hope of fiscal conservatism,position on marijuana legalization
2014,400039,55,1,2,4,3,1,4.5,5.5,3.5,4.5,4.5,,"She is a liar, a bigot and she is a responsible for Benghazi",He is not Hillary Clinton,If Ted Cruz was still running,,They are not what they seem...hypocritical,,They don't seem to be for the people any more
2015,400041,34,1,3,4,2,0,4,7,5,1.5,4,,She's a liar.,He's not a politician.,,,Approach to health care and economy,Healthcare and economy,
