V160001,V160001_orig,age,female,education,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,V161069,V161072,V161075,V161078,V161098,V161101,V161104,V161106
4934,407423,25,1,1,2,1,0,4,4,4,4,4,,The negatives around her campaign and the childish behavior,"Although he is sarcastic, he has not had deaths surround him",,,,,
4935,407426,54,0,1,0,2,.5,2.5,5.5,6,1,6,She's not a republican and she's not Donald Trump,,"He's an incompetent, racist, sexist, bufoonic demagogue.",His incompetence,More interested in strengthening the middle and lower class.,,,Social and economic stances.
4936,407428,40,1,2,3,0,0,4.5,5.5,7,3,7,,,THE ISSUES CONCERNING OUR BORDERS,THE FACT THAT HE IS A BILLIONAIRE AND HAS FILED BANKRUPTCY,THE DESIRE TO RECTIFY WHAT WAS BEEN HAPPENING TO THE POOR,THE LACK OF MAKING PEOPLE GET OFF THEIR BUTTS AND WORK,THE DESIRE TO HAVE THE NATION AS GOD INTENDED,THEIR RACISIM
4937,407430,70,1,2,4,3,0,5.5,7,7,2.5,6,,Not Trustworthy  and a Socialist,Donald is not a money hungry politician.,,,Too liberal and left wing.  Too many handouts,conservative views and values,republican senators and congressmen not supporting Trump
4938,407433,52,0,3,5,,0,,,,,,Experience,Lack of honesty,Pro Israel,Personality,Social awareness,Pro abortion,Platforms,Unity
4939,407434,45,0,2,4,2,.5,1.5,4,2,1.5,2.5,,criminal and likes to kill babies.,He is now Hillary,,,needs more Christians in it,they are for the people and God,
4940,407436,59,1,2,4,2,0,5,5,6.5,3.5,5,,she lies,a working man,,,they act like they are for the people,,they follow and dont take charge
4941,407442,78,0,3,4,3,0,4,4,7,2.5,6,,Progressive,Conservative,Errogant,,Not trustworthy,,No backbone
4942,407446,30,1,3,1,2,0,5.5,4.5,6.5,2.5,5.5,,The email issue and national security,,Racist and bigotry comments,Look out for the little person,,,They like to make the rich richer and keep the poor poor.
4943,407447,31,0,2,3,1,0,3,3.5,4,4.5,3.5,,,,,,,,
4944,407449,75,0,3,6,,0,,,,,,,arrogance social economic superiority,,lack of knowledge  reality show approach  to  such an import,,"pandoring for black vote, liberal attitudes",less government,fragmented beliefs all over the board
4945,407450,64,0,2,1,2,0,5.5,6,6,2.5,5.5,,,,His temper,every body equal,,,fend for the rich
4946,407451,58,0,2,1,2,0,5,5.5,5.5,4,3.5,,the clintons are lair's and cheats,ecomony,he's a loose canon,,,,
4947,407455,52,1,3,3,2,0,5,5,6.5,2,5,,Health concerns and truthfulness,,woman bashing,social and job programs,not too concerned with economics or balancing the budget,Good economics,"No compassion for middle, lower classes"
4948,407456,61,0,1,6,2,0,6,5,6,4,6.5,,the leaked emails and benghazi,The wall,,,their responses on the policis concerning immigration and t,The views on policies concerning abortion and immigration,
4949,407458,51,1,2,2,2,0,3.5,6,6.5,5,3,Her experience,A better choice,,Hes has no idea what he is doing,,,,
4950,407460,22,1,2,1,2,.5,5,3.5,5,6.5,4,"She is female, liberal, pro-choice, experienced","E-mails, Benghazi scandal, untrustworthy, ANTI-COAL","Pro-Coal, Pro-American Jobs, Good Businessman","Rude, Arrogant, Unexperienced, Pro-Life, Views against women","Pro-Choice, Union","Excessive spending, climate change","Smaller Government, Less Spending","Separation of Church and State, Pro-Life"
