40,8,10,2941
40,8,15,2955
40,8,20,3027
40,8,25,941
40,9,2,2238
40,9,3,2298
40,9,4,2393
40,9,5,2521
40,9,6,2475
40,9,7,2720
40,9,8,2728
40,9,9,2910
40,9,10,2929
40,9,15,2955
40,9,20,3027
40,9,25,3076
40,10,2,2132
40,10,3,2317
40,10,4,2410
40,10,5,2529
40,10,6,2613
40,10,7,2734
40,10,8,2693
40,10,9,2899
40,10,10,2927
40,10,15,2901
40,10,20,3027
40,10,25,2979
40,15,2,2219
40,15,3,2352
40,15,4,2469
40,15,5,2408
40,15,6,2424
40,15,7,2500
40,15,8,2627
40,15,9,2789
40,15,10,377
40,15,15,2790
40,15,20,2895
40,15,25,2817
40,20,2,2183
40,20,3,2106
40,20,4,2356
40,20,5,2235
40,20,6,2413
40,20,7,2463
40,20,8,2434
40,20,9,2547
40,20,10,2548
40,20,15,2775
40,20,20,2881
40,20,25,2817
40,25,2,2050
40,25,3,2223
40,25,4,2329
40,25,5,2365
40,25,6,2476
40,25,7,2487
40,25,8,2513
40,25,9,2568
40,25,10,2674
40,25,15,2875
40,25,20,2900
40,25,25,2817
45,2,2,2133
45,2,3,2300
45,2,4,2494
45,2,5,2630
45,2,6,2699
45,2,7,2831
45,2,8,2855
45,2,9,2915
45,2,10,2961
45,2,15,380
45,2,20,394
45,2,25,396
45,3,2,2056
45,3,3,2253
45,3,4,2492
45,3,5,2617
45,3,6,2656
45,3,7,2793
45,3,8,2737
45,3,9,2665
45,3,10,2787
45,3,15,380
45,3,20,394
45,3,25,3095
45,4,2,2060
45,4,3,2221
45,4,4,2499
45,4,5,2477
45,4,6,2578
45,4,7,2702
45,4,8,2708
45,4,9,2667
45,4,10,2780
45,4,15,380
45,4,20,394
45,4,25,957
45,5,2,2109
45,5,3,2226
45,5,4,2422
45,5,5,2474
45,5,6,2578
45,5,7,2722
45,5,8,2644
45,5,9,2635
45,5,10,2774
45,5,15,380
45,5,20,3069
45,5,25,957
45,6,2,2014
45,6,3,2276
45,6,4,2417
45,6,5,2463
45,6,6,2594
45,6,7,2526
45,6,8,2582
45,6,9,2635
45,6,10,2785
45,6,15,380
45,6,20,3077
45,6,25,957
